,_para_k_sl,_para_k_tp,_para_range_k,annualized_returns,downside_risk,information_ratio,max_drawdown,sharpe,sortino,total_value,tracking_error,trades,unit_net_value,volatility,win_rate
23,0.05,0.5,0.1,0.025,0.02,0.568,0.038,0.062,0.139,102468.701,0.045,920,1.025,0.045,0.804
24,0.15,0.2,0.1,-0.048,0.033,-1.041,0.098,-1.534,-2.14,95238.964,0.046,848,0.952,0.046,0.575
25,0.15,0.3,0.1,-0.059,0.035,-1.198,0.089,-1.654,-2.377,94125.369,0.05,804,0.941,0.05,0.639
26,0.15,0.4,0.1,-0.053,0.036,-0.954,0.089,-1.367,-2.097,94762.15,0.055,778,0.948,0.055,0.663
27,0.15,0.5,0.1,-0.018,0.035,-0.273,0.066,-0.66,-1.098,98252.757,0.059,762,0.983,0.059,0.664
28,0.25,0.2,0.1,-0.048,0.04,-0.862,0.098,-1.276,-1.744,95260.792,0.055,794,0.953,0.055,0.496
29,0.25,0.3,0.1,-0.049,0.042,-0.771,0.071,-1.136,-1.704,95161.107,0.062,744,0.952,0.062,0.556
30,0.25,0.4,0.1,-0.047,0.043,-0.685,0.076,-1.024,-1.588,95322.2,0.067,712,0.953,0.067,0.584
31,0.25,0.5,0.1,-0.012,0.043,-0.134,0.056,-0.455,-0.757,98811.644,0.071,698,0.988,0.071,0.593
32,0.35,0.2,0.1,-0.058,0.045,-0.962,0.116,-1.344,-1.776,94306.156,0.06,752,0.943,0.06,0.465
33,0.35,0.3,0.1,-0.065,0.047,-0.975,0.085,-1.316,-1.881,93549.426,0.067,698,0.935,0.067,0.536
34,0.35,0.4,0.1,-0.069,0.048,-0.975,0.09,-1.298,-1.901,93159.921,0.071,666,0.932,0.071,0.565
35,0.35,0.5,0.1,-0.016,0.047,-0.174,0.066,-0.477,-0.76,98439.365,0.075,652,0.984,0.075,0.571
36,0.45,0.2,0.1,-0.075,0.053,-1.146,0.142,-1.491,-1.87,92558.195,0.066,720,0.926,0.066,0.442
37,0.45,0.3,0.1,-0.076,0.054,-1.049,0.111,-1.364,-1.843,92501.742,0.072,666,0.925,0.072,0.517
38,0.45,0.4,0.1,-0.083,0.056,-1.085,0.122,-1.38,-1.91,91760.845,0.077,636,0.918,0.077,0.547
39,0.45,0.5,0.1,-0.03,0.054,-0.339,0.084,-0.621,-0.921,97010.289,0.081,622,0.97,0.081,0.553
40,0.05,0.2,0.15,-0.031,0.013,-1.339,0.041,-2.322,-4.002,96941.443,0.023,594,0.969,0.023,0.771
41,0.05,0.3,0.15,-0.055,0.014,-2.393,0.055,-3.369,-5.479,94578.375,0.023,582,0.946,0.023,0.811
42,0.05,0.4,0.15,-0.055,0.015,-2.17,0.055,-3.058,-5.404,94591.088,0.026,578,0.946,0.026,0.817
43,0.05,0.5,0.15,-0.048,0.015,-1.743,0.053,-2.56,-4.919,95252.647,0.028,576,0.953,0.028,0.816
44,0.15,0.2,0.15,-0.065,0.027,-1.786,0.068,-2.403,-3.238,93601.798,0.037,558,0.936,0.037,0.624
45,0.15,0.3,0.15,-0.084,0.029,-2.122,0.089,-2.678,-3.755,91659.535,0.041,528,0.917,0.041,0.693
46,0.15,0.4,0.15,-0.066,0.029,-1.497,0.069,-2.003,-3.076,93434.611,0.045,520,0.934,0.045,0.704
47,0.15,0.5,0.15,-0.051,0.029,-1.085,0.069,-1.57,-2.528,94967.336,0.047,516,0.95,0.047,0.705
48,0.25,0.2,0.15,-0.074,0.035,-1.662,0.083,-2.165,-2.771,92705.722,0.045,536,0.927,0.045,0.526
49,0.25,0.3,0.15,-0.078,0.037,-1.573,0.087,-2.022,-2.772,92273.137,0.051,506,0.923,0.051,0.585
50,0.25,0.4,0.15,-0.064,0.037,-1.203,0.069,-1.624,-2.359,93619.305,0.054,496,0.936,0.054,0.601
51,0.25,0.5,0.15,-0.042,0.037,-0.733,0.062,-1.141,-1.732,95862.031,0.056,492,0.959,0.056,0.602
52,0.35,0.2,0.15,-0.101,0.042,-2.053,0.109,-2.497,-3.031,89967.85,0.051,516,0.9,0.051,0.496
53,0.35,0.3,0.15,-0.118,0.044,-2.171,0.125,-2.573,-3.284,88365.201,0.057,486,0.884,0.057,0.556
54,0.35,0.4,0.15,-0.105,0.045,-1.803,0.11,-2.182,-2.916,89651.37,0.06,476,0.897,0.06,0.571
55,0.35,0.5,0.15,-0.08,0.044,-1.312,0.097,-1.68,-2.335,92094.095,0.062,472,0.921,0.062,0.572
56,0.45,0.2,0.15,-0.095,0.046,-1.792,0.115,-2.206,-2.627,90557.53,0.055,498,0.906,0.055,0.466
57,0.45,0.3,0.15,-0.117,0.048,-2.049,0.132,-2.43,-3.028,88406.0,0.06,466,0.884,0.06,0.532
58,0.45,0.4,0.15,-0.099,0.048,-1.613,0.117,-1.975,-2.575,90242.168,0.063,456,0.902,0.063,0.544
59,0.45,0.5,0.15,-0.074,0.048,-1.148,0.105,-1.501,-2.03,92724.893,0.065,452,0.927,0.065,0.544
60,0.05,0.2,0.2,-0.019,0.009,-1.32,0.023,-2.872,-4.81,98084.33,0.015,326,0.981,0.015,0.767
61,0.05,0.3,0.2,-0.048,0.01,-3.316,0.048,-4.848,-7.024,95216.614,0.015,322,0.952,0.015,0.814
62,0.05,0.4,0.2,-0.035,0.01,-1.879,0.037,-3.09,-5.698,96536.651,0.019,322,0.965,0.019,0.814
63,0.05,0.5,0.2,-0.028,0.01,-1.344,0.036,-2.42,-5.046,97196.651,0.021,322,0.972,0.021,0.814
64,0.15,0.2,0.2,0.002,0.016,0.098,0.021,-0.769,-1.236,100222.267,0.026,314,1.002,0.026,0.58
65,0.15,0.3,0.2,-0.017,0.017,-0.592,0.032,-1.378,-2.287,98271.786,0.029,298,0.983,0.029,0.664
66,0.15,0.4,0.2,-0.004,0.018,-0.1,0.027,-0.748,-1.501,99593.183,0.035,296,0.996,0.035,0.676
67,0.15,0.5,0.2,0.004,0.017,0.135,0.029,-0.493,-1.024,100423.183,0.036,296,1.004,0.036,0.682
68,0.25,0.2,0.2,-0.035,0.023,-1.121,0.044,-1.848,-2.517,96531.892,0.031,312,0.965,0.031,0.526
69,0.25,0.3,0.2,-0.057,0.025,-1.652,0.061,-2.299,-3.178,94333.941,0.035,292,0.943,0.035,0.61
70,0.25,0.4,0.2,-0.049,0.026,-1.213,0.055,-1.777,-2.794,95185.338,0.04,290,0.952,0.04,0.621
71,0.25,0.5,0.2,-0.041,0.026,-0.985,0.05,-1.535,-2.475,95955.338,0.041,290,0.96,0.041,0.628
72,0.35,0.2,0.2,-0.059,0.031,-1.572,0.071,-2.173,-2.69,94192.02,0.038,310,0.942,0.038,0.503
73,0.35,0.3,0.2,-0.089,0.034,-2.132,0.099,-2.662,-3.34,91224.073,0.043,290,0.912,0.043,0.6
74,0.35,0.4,0.2,-0.081,0.035,-1.735,0.091,-2.211,-3.061,91995.473,0.048,288,0.92,0.048,0.611
75,0.35,0.5,0.2,-0.073,0.035,-1.492,0.093,-1.95,-2.799,92795.483,0.05,288,0.928,0.05,0.618
76,0.45,0.2,0.2,-0.059,0.035,-1.422,0.088,-1.962,-2.366,94135.787,0.042,304,0.941,0.042,0.461
77,0.45,0.3,0.2,-0.097,0.039,-2.1,0.12,-2.578,-3.112,90449.263,0.048,282,0.904,0.048,0.56
78,0.45,0.4,0.2,-0.087,0.04,-1.709,0.113,-2.146,-2.825,91410.663,0.052,280,0.914,0.052,0.571
79,0.45,0.5,0.2,-0.079,0.04,-1.49,0.115,-1.912,-2.598,92190.673,0.054,280,0.922,0.054,0.579
80,0.05,0.2,0.25,-0.014,0.006,-1.266,0.017,-3.375,-5.712,98646.947,0.011,182,0.986,0.011,0.758
81,0.05,0.3,0.25,-0.015,0.007,-1.186,0.021,-3.029,-5.707,98548.121,0.012,180,0.985,0.012,0.789
82,0.05,0.4,0.25,-0.014,0.007,-1.041,0.02,-2.707,-5.619,98589.21,0.014,178,0.986,0.014,0.798
83,0.05,0.5,0.25,-0.022,0.007,-1.801,0.022,-3.698,-6.533,97869.21,0.012,178,0.979,0.012,0.809
84,0.15,0.2,0.25,-0.017,0.014,-0.855,0.023,-2.0,-2.757,98307.243,0.02,180,0.983,0.02,0.6
85,0.15,0.3,0.25,-0.012,0.015,-0.513,0.022,-1.489,-2.358,98790.54,0.023,174,0.988,0.023,0.667
86,0.15,0.4,0.25,-0.007,0.015,-0.287,0.016,-1.225,-2.021,99281.629,0.024,172,0.993,0.024,0.674
87,0.15,0.5,0.25,-0.012,0.015,-0.45,0.025,-1.348,-2.261,98841.629,0.025,172,0.988,0.025,0.698
88,0.25,0.2,0.25,-0.049,0.02,-2.099,0.054,-3.056,-3.692,95135.811,0.024,180,0.951,0.024,0.589
89,0.25,0.3,0.25,-0.049,0.021,-1.811,0.054,-2.639,-3.496,95140.582,0.028,172,0.951,0.028,0.651
90,0.25,0.4,0.25,-0.043,0.021,-1.53,0.048,-2.33,-3.192,95731.671,0.028,170,0.957,0.028,0.659
91,0.25,0.5,0.25,-0.05,0.022,-1.703,0.059,-2.465,-3.395,95031.671,0.03,170,0.95,0.03,0.682
92,0.35,0.2,0.25,-0.065,0.027,-2.16,0.074,-2.9,-3.3,93565.805,0.031,180,0.936,0.031,0.533
93,0.35,0.3,0.25,-0.076,0.028,-2.316,0.086,-2.99,-3.551,92471.999,0.034,170,0.925,0.034,0.624
94,0.35,0.4,0.25,-0.068,0.028,-2.006,0.078,-2.663,-3.254,93283.088,0.035,168,0.933,0.035,0.631
95,0.35,0.5,0.25,-0.076,0.029,-2.219,0.086,-2.862,-3.473,92443.088,0.035,168,0.924,0.035,0.655
96,0.45,0.2,0.25,-0.068,0.032,-1.967,0.081,-2.608,-2.923,93237.084,0.036,174,0.932,0.036,0.483
97,0.45,0.3,0.25,-0.081,0.033,-2.174,0.091,-2.767,-3.203,91983.278,0.038,164,0.92,0.038,0.573
98,0.45,0.4,0.25,-0.073,0.033,-1.909,0.084,-2.49,-2.951,92764.367,0.039,162,0.928,0.039,0.58
99,0.45,0.5,0.25,-0.081,0.034,-2.088,0.098,-2.656,-3.138,91954.367,0.04,162,0.92,0.04,0.605
100,0.05,0.2,0.3,0.004,0.005,0.403,0.01,-1.645,-3.63,100439.248,0.011,112,1.004,0.011,0.679
101,0.05,0.3,0.3,0.003,0.005,0.317,0.012,-1.761,-3.753,100339.248,0.011,112,1.003,0.011,0.696
102,0.05,0.4,0.3,0.005,0.005,0.431,0.012,-1.497,-3.443,100499.248,0.012,112,1.005,0.012,0.696
103,0.05,0.5,0.3,0.01,0.005,0.682,0.012,-0.948,-2.581,100940.214,0.014,110,1.009,0.014,0.709
104,0.15,0.2,0.3,-0.005,0.011,-0.301,0.02,-1.724,-2.483,99510.606,0.016,110,0.995,0.016,0.6
105,0.15,0.3,0.3,-0.005,0.011,-0.26,0.023,-1.551,-2.403,99530.606,0.018,110,0.995,0.018,0.655
106,0.15,0.4,0.3,-0.002,0.011,-0.102,0.023,-1.354,-2.166,99800.606,0.018,110,0.998,0.018,0.655
107,0.15,0.5,0.3,0.006,0.011,0.29,0.022,-0.841,-1.493,100561.572,0.02,108,1.006,0.02,0.667
108,0.25,0.2,0.3,-0.026,0.015,-1.417,0.032,-2.638,-3.302,97391.979,0.019,108,0.974,0.019,0.574
109,0.25,0.3,0.3,-0.028,0.016,-1.396,0.037,-2.508,-3.284,97181.979,0.02,108,0.972,0.02,0.63
110,0.25,0.4,0.3,-0.025,0.015,-1.236,0.032,-2.35,-3.115,97501.979,0.02,108,0.975,0.02,0.63
111,0.25,0.5,0.3,-0.016,0.015,-0.743,0.031,-1.788,-2.532,98382.944,0.022,106,0.984,0.022,0.642
112,0.35,0.2,0.3,-0.018,0.017,-0.851,0.027,-1.937,-2.399,98223.011,0.021,106,0.982,0.021,0.472
113,0.35,0.3,0.3,-0.032,0.019,-1.382,0.042,-2.355,-2.944,96814.553,0.023,104,0.968,0.023,0.577
114,0.35,0.4,0.3,-0.031,0.019,-1.338,0.039,-2.323,-2.892,96954.553,0.023,104,0.97,0.023,0.577
115,0.35,0.5,0.3,-0.022,0.019,-0.895,0.035,-1.831,-2.405,97835.519,0.024,102,0.978,0.024,0.588
116,0.45,0.2,0.3,-0.036,0.022,-1.454,0.042,-2.369,-2.73,96441.69,0.025,106,0.964,0.025,0.472
117,0.45,0.3,0.3,-0.047,0.023,-1.759,0.056,-2.601,-3.047,95353.233,0.027,104,0.954,0.027,0.558
118,0.45,0.4,0.3,-0.046,0.023,-1.721,0.053,-2.572,-3.0,95493.233,0.027,104,0.955,0.027,0.558
119,0.45,0.5,0.3,-0.037,0.023,-1.321,0.05,-2.138,-2.601,96374.198,0.028,102,0.964,0.028,0.569
120,0.05,0.6,0.05,0.026,0.026,0.492,0.061,0.073,0.151,102540.968,0.054,1138,1.025,0.054,0.815
121,0.05,0.7,0.05,0.019,0.026,0.37,0.063,-0.054,-0.11,101847.424,0.054,1128,1.018,0.054,0.819
122,0.05,0.8,0.05,0.026,0.026,0.484,0.061,0.071,0.15,102531.363,0.055,1122,1.025,0.055,0.82
123,0.05,0.9,0.05,0.012,0.026,0.242,0.066,-0.177,-0.366,101166.71,0.054,1114,1.012,0.054,0.82
124,0.15,0.6,0.05,0.012,0.041,0.204,0.093,-0.115,-0.199,101200.527,0.072,906,1.012,0.072,0.645
125,0.15,0.7,0.05,0.004,0.041,0.089,0.09,-0.235,-0.402,100378.511,0.07,894,1.004,0.07,0.651
126,0.15,0.8,0.05,0.017,0.041,0.271,0.082,-0.05,-0.087,101676.189,0.071,882,1.017,0.071,0.653
127,0.15,0.9,0.05,-0.001,0.041,0.025,0.089,-0.298,-0.514,99931.535,0.071,874,0.999,0.071,0.652
128,0.25,0.6,0.05,-0.038,0.053,-0.443,0.108,-0.729,-1.103,96247.037,0.08,812,0.962,0.08,0.591
129,0.25,0.7,0.05,-0.048,0.053,-0.582,0.107,-0.872,-1.3,95275.021,0.079,800,0.953,0.079,0.598
130,0.25,0.8,0.05,-0.034,0.052,-0.391,0.1,-0.679,-1.03,96672.699,0.079,788,0.967,0.079,0.599
131,0.25,0.9,0.05,-0.05,0.052,-0.608,0.106,-0.896,-1.352,95056.92,0.079,782,0.951,0.079,0.598
132,0.35,0.6,0.05,-0.018,0.055,-0.171,0.103,-0.438,-0.673,98215.59,0.085,736,0.982,0.085,0.546
133,0.35,0.7,0.05,-0.03,0.055,-0.33,0.107,-0.603,-0.905,96983.574,0.083,724,0.97,0.083,0.552
134,0.35,0.8,0.05,-0.013,0.055,-0.114,0.098,-0.386,-0.589,98711.251,0.084,712,0.987,0.084,0.553
135,0.35,0.9,0.05,-0.028,0.055,-0.298,0.102,-0.57,-0.867,97215.472,0.084,706,0.972,0.084,0.552
136,0.45,0.6,0.05,-0.018,0.058,-0.168,0.094,-0.429,-0.647,98188.423,0.087,684,0.982,0.087,0.544
137,0.45,0.7,0.05,-0.032,0.058,-0.333,0.099,-0.6,-0.885,96867.532,0.085,670,0.969,0.085,0.549
138,0.45,0.8,0.05,-0.012,0.057,-0.097,0.09,-0.361,-0.542,98815.21,0.086,658,0.988,0.086,0.55
139,0.45,0.9,0.05,-0.026,0.057,-0.259,0.093,-0.524,-0.784,97459.431,0.086,652,0.975,0.086,0.549
140,0.05,0.6,0.1,0.047,0.02,0.977,0.037,0.502,1.2,104642.127,0.048,914,1.046,0.048,0.805
141,0.05,0.7,0.1,0.037,0.02,0.783,0.044,0.308,0.73,103679.293,0.048,904,1.037,0.048,0.808
142,0.05,0.8,0.1,0.024,0.02,0.524,0.041,0.036,0.083,102346.572,0.047,894,1.023,0.047,0.81
143,0.05,0.9,0.1,0.015,0.02,0.334,0.045,-0.155,-0.356,101447.676,0.047,892,1.014,0.047,0.812
144,0.15,0.6,0.1,-0.015,0.036,-0.216,0.082,-0.591,-1.007,98532.695,0.061,746,0.985,0.061,0.67
145,0.15,0.7,0.1,-0.021,0.036,-0.316,0.09,-0.686,-1.173,97909.861,0.062,736,0.979,0.062,0.671
146,0.15,0.8,0.1,-0.032,0.036,-0.501,0.087,-0.875,-1.476,96847.139,0.061,726,0.968,0.061,0.675
147,0.15,0.9,0.1,-0.039,0.036,-0.617,0.09,-0.991,-1.673,96168.244,0.061,724,0.962,0.061,0.674
148,0.25,0.6,0.1,-0.013,0.043,-0.147,0.07,-0.465,-0.774,98712.608,0.072,680,0.987,0.072,0.6
149,0.25,0.7,0.1,-0.015,0.043,-0.172,0.074,-0.483,-0.819,98490.926,0.073,668,0.985,0.073,0.599
150,0.25,0.8,0.1,-0.025,0.043,-0.32,0.074,-0.637,-1.054,97498.205,0.072,658,0.975,0.072,0.602
151,0.25,0.9,0.1,-0.033,0.043,-0.427,0.077,-0.744,-1.233,96749.309,0.072,656,0.967,0.072,0.601
152,0.35,0.6,0.1,-0.012,0.047,-0.122,0.078,-0.422,-0.676,98810.33,0.076,634,0.988,0.076,0.58
153,0.35,0.7,0.1,-0.017,0.048,-0.188,0.087,-0.482,-0.782,98269.779,0.078,620,0.983,0.078,0.581
154,0.35,0.8,0.1,-0.024,0.048,-0.285,0.087,-0.584,-0.928,97587.058,0.076,610,0.976,0.076,0.584
155,0.35,0.9,0.1,-0.031,0.048,-0.375,0.09,-0.674,-1.073,96918.163,0.076,608,0.969,0.076,0.582
156,0.45,0.6,0.1,-0.029,0.055,-0.318,0.095,-0.599,-0.89,97151.253,0.081,604,0.972,0.081,0.563
157,0.45,0.7,0.1,-0.035,0.055,-0.382,0.104,-0.656,-0.988,96580.703,0.083,590,0.966,0.083,0.563
158,0.45,0.8,0.1,-0.037,0.055,-0.412,0.104,-0.69,-1.023,96387.986,0.082,580,0.964,0.082,0.566
159,0.45,0.9,0.1,-0.043,0.055,-0.496,0.107,-0.774,-1.15,95719.091,0.082,578,0.957,0.082,0.564
160,0.05,0.6,0.15,-0.044,0.014,-1.538,0.05,-2.325,-4.644,95644.125,0.029,574,0.956,0.029,0.819
161,0.05,0.7,0.15,-0.047,0.015,-1.662,0.052,-2.461,-4.839,95366.804,0.029,570,0.954,0.029,0.821
162,0.05,0.8,0.15,-0.045,0.015,-1.561,0.053,-2.343,-4.709,95546.804,0.029,570,0.955,0.029,0.821
163,0.05,0.9,0.15,-0.045,0.014,-1.539,0.053,-2.32,-4.675,95596.804,0.029,570,0.956,0.029,0.821
164,0.15,0.6,0.15,-0.055,0.029,-1.199,0.073,-1.689,-2.69,94520.344,0.047,512,0.945,0.047,0.715
165,0.15,0.7,0.15,-0.051,0.029,-1.084,0.074,-1.566,-2.543,94945.046,0.047,504,0.949,0.047,0.714
166,0.15,0.8,0.15,-0.042,0.029,-0.852,0.075,-1.317,-2.217,95826.314,0.049,502,0.958,0.049,0.713
167,0.15,0.9,0.15,-0.044,0.029,-0.887,0.075,-1.347,-2.3,95616.314,0.05,502,0.956,0.05,0.713
168,0.25,0.6,0.15,-0.037,0.037,-0.627,0.068,-1.02,-1.604,96307.639,0.058,484,0.963,0.058,0.607
169,0.25,0.7,0.15,-0.028,0.037,-0.443,0.066,-0.828,-1.342,97262.34,0.059,476,0.973,0.059,0.609
170,0.25,0.8,0.15,-0.024,0.037,-0.381,0.068,-0.764,-1.236,97613.608,0.059,474,0.976,0.059,0.608
171,0.25,0.9,0.15,-0.028,0.037,-0.437,0.068,-0.819,-1.334,97273.608,0.06,474,0.973,0.06,0.608
172,0.35,0.6,0.15,-0.071,0.044,-1.125,0.089,-1.483,-2.131,92969.703,0.064,464,0.93,0.064,0.578
173,0.35,0.7,0.15,-0.063,0.044,-0.966,0.088,-1.317,-1.942,93784.405,0.065,456,0.938,0.065,0.583
174,0.35,0.8,0.15,-0.056,0.044,-0.849,0.094,-1.198,-1.769,94455.672,0.065,454,0.945,0.065,0.581
175,0.35,0.9,0.15,-0.061,0.044,-0.922,0.094,-1.27,-1.884,93995.672,0.065,454,0.94,0.065,0.581
176,0.45,0.6,0.15,-0.071,0.048,-1.084,0.1,-1.43,-1.98,92960.501,0.066,444,0.93,0.066,0.55
177,0.45,0.7,0.15,-0.063,0.047,-0.938,0.097,-1.278,-1.81,93745.203,0.067,436,0.937,0.067,0.555
178,0.45,0.8,0.15,-0.056,0.048,-0.818,0.1,-1.156,-1.64,94456.471,0.067,434,0.945,0.067,0.553
179,0.45,0.9,0.15,-0.061,0.047,-0.889,0.097,-1.227,-1.747,93996.471,0.068,434,0.94,0.068,0.553
180,0.05,0.6,0.2,-0.024,0.01,-1.011,0.036,-1.99,-4.583,97667.824,0.023,320,0.977,0.023,0.812
181,0.05,0.7,0.2,-0.03,0.01,-1.379,0.036,-2.431,-5.188,97057.824,0.022,320,0.971,0.022,0.812
182,0.05,0.8,0.2,-0.034,0.01,-1.665,0.036,-2.782,-5.569,96668.893,0.02,318,0.967,0.02,0.811
183,0.05,0.9,0.2,-0.034,0.01,-1.683,0.036,-2.805,-5.589,96648.892,0.02,318,0.966,0.02,0.811
184,0.15,0.6,0.2,0.018,0.017,0.48,0.028,-0.112,-0.251,101774.356,0.038,294,1.018,0.038,0.68
185,0.15,0.7,0.2,0.016,0.017,0.424,0.03,-0.161,-0.364,101575.321,0.039,292,1.016,0.039,0.692
186,0.15,0.8,0.2,0.021,0.017,0.527,0.03,-0.044,-0.101,102027.668,0.04,288,1.02,0.04,0.688
187,0.15,0.9,0.2,0.011,0.017,0.298,0.03,-0.29,-0.647,101077.668,0.039,288,1.011,0.039,0.688
188,0.25,0.6,0.2,-0.031,0.025,-0.705,0.047,-1.234,-2.088,96946.511,0.043,288,0.969,0.043,0.625
189,0.25,0.7,0.2,-0.031,0.025,-0.714,0.048,-1.239,-2.12,96887.476,0.043,286,0.969,0.043,0.629
190,0.25,0.8,0.2,-0.025,0.026,-0.555,0.052,-1.066,-1.859,97479.823,0.045,282,0.975,0.045,0.624
191,0.25,0.9,0.2,-0.035,0.026,-0.8,0.052,-1.325,-2.249,96529.823,0.043,282,0.965,0.043,0.624
192,0.35,0.6,0.2,-0.064,0.034,-1.271,0.087,-1.718,-2.546,93666.656,0.051,286,0.937,0.051,0.615
193,0.35,0.7,0.2,-0.066,0.034,-1.301,0.091,-1.747,-2.601,93507.621,0.051,284,0.935,0.051,0.62
194,0.35,0.8,0.2,-0.057,0.035,-1.074,0.094,-1.504,-2.309,94369.974,0.053,280,0.944,0.053,0.614
195,0.35,0.9,0.2,-0.069,0.035,-1.367,0.092,-1.812,-2.685,93179.968,0.051,280,0.932,0.051,0.614
196,0.45,0.6,0.2,-0.075,0.04,-1.388,0.11,-1.803,-2.502,92591.845,0.055,278,0.926,0.055,0.576
197,0.45,0.7,0.2,-0.076,0.039,-1.416,0.113,-1.831,-2.548,92432.811,0.055,276,0.924,0.055,0.58
198,0.45,0.8,0.2,-0.068,0.04,-1.2,0.116,-1.6,-2.292,93295.164,0.057,272,0.933,0.057,0.574
199,0.45,0.9,0.2,-0.08,0.04,-1.477,0.115,-1.891,-2.623,92105.158,0.055,272,0.921,0.055,0.574
200,0.05,0.6,0.25,-0.018,0.007,-1.321,0.022,-2.99,-6.016,98219.21,0.014,178,0.982,0.014,0.809
201,0.05,0.7,0.25,-0.021,0.007,-1.528,0.022,-3.177,-6.451,97919.21,0.014,178,0.979,0.014,0.809
202,0.05,0.8,0.25,-0.02,0.007,-1.372,0.022,-2.946,-6.27,98039.21,0.014,178,0.98,0.014,0.809
203,0.05,0.9,0.25,-0.021,0.007,-1.56,0.022,-3.221,-6.497,97889.21,0.014,178,0.979,0.014,0.809
204,0.15,0.6,0.25,-0.006,0.015,-0.199,0.02,-1.055,-1.863,99441.629,0.027,172,0.994,0.027,0.698
205,0.15,0.7,0.25,-0.009,0.015,-0.316,0.03,-1.133,-2.077,99092.594,0.028,170,0.991,0.028,0.718
206,0.15,0.8,0.25,-0.0,0.015,-0.0,0.03,-0.755,-1.501,99953.878,0.03,168,1.0,0.03,0.714
207,0.15,0.9,0.25,-0.011,0.015,-0.37,0.03,-1.172,-2.192,98923.878,0.028,168,0.989,0.028,0.714
208,0.25,0.6,0.25,-0.042,0.022,-1.345,0.055,-2.071,-3.006,95851.671,0.031,170,0.959,0.031,0.682
209,0.25,0.7,0.25,-0.044,0.022,-1.369,0.062,-2.072,-3.089,95642.636,0.032,168,0.956,0.032,0.69
210,0.25,0.8,0.25,-0.035,0.022,-1.006,0.061,-1.663,-2.654,96543.92,0.035,166,0.965,0.035,0.687
211,0.25,0.9,0.25,-0.044,0.022,-1.334,0.059,-2.019,-3.092,95643.92,0.033,166,0.956,0.033,0.687
212,0.35,0.6,0.25,-0.068,0.029,-1.897,0.08,-2.517,-3.18,93263.088,0.037,168,0.933,0.037,0.655
