,_para_k_sl,_para_k_tp,_para_range_k,annualized_returns,downside_risk,information_ratio,max_drawdown,sharpe,sortino,total_value,tracking_error,trades,unit_net_value,volatility,win_rate
0,0.05,0.2,0.05,0.04,0.024,0.981,0.037,0.425,0.72,103978.892,0.041,1242,1.04,0.041,0.744
1,0.05,0.3,0.05,-0.015,0.026,-0.311,0.067,-0.815,-1.398,98517.274,0.045,1194,0.985,0.045,0.797
2,0.05,0.4,0.05,0.001,0.026,0.053,0.057,-0.402,-0.76,100140.207,0.05,1174,1.001,0.05,0.807
3,0.05,0.5,0.05,0.03,0.026,0.566,0.054,0.144,0.297,102929.108,0.054,1158,1.029,0.054,0.808
4,0.15,0.2,0.05,0.002,0.037,0.064,0.046,-0.357,-0.529,100197.059,0.054,1108,1.002,0.054,0.549
5,0.15,0.3,0.05,-0.029,0.04,-0.444,0.084,-0.816,-1.236,97163.811,0.061,1000,0.972,0.061,0.612
6,0.15,0.4,0.05,-0.023,0.041,-0.317,0.087,-0.66,-1.063,97712.959,0.067,970,0.977,0.067,0.631
7,0.15,0.5,0.05,0.017,0.041,0.279,0.079,-0.048,-0.083,101701.64,0.07,936,1.017,0.07,0.632
8,0.25,0.2,0.05,-0.053,0.048,-0.818,0.096,-1.172,-1.565,94717.755,0.064,1010,0.947,0.064,0.491
9,0.25,0.3,0.05,-0.091,0.052,-1.315,0.127,-1.637,-2.214,90960.136,0.071,908,0.91,0.071,0.564
10,0.25,0.4,0.05,-0.058,0.052,-0.75,0.098,-1.054,-1.52,94298.727,0.075,878,0.943,0.075,0.574
11,0.25,0.5,0.05,-0.031,0.052,-0.359,0.089,-0.651,-0.977,96964.578,0.078,848,0.97,0.078,0.578
12,0.35,0.2,0.05,-0.033,0.05,-0.447,0.069,-0.776,-1.066,96745.954,0.069,934,0.967,0.069,0.448
13,0.35,0.3,0.05,-0.075,0.055,-0.987,0.104,-1.288,-1.779,92577.537,0.076,834,0.926,0.076,0.525
14,0.35,0.4,0.05,-0.051,0.055,-0.614,0.094,-0.902,-1.296,94994.659,0.079,806,0.95,0.079,0.533
15,0.35,0.5,0.05,-0.015,0.055,-0.136,0.093,-0.409,-0.62,98544.315,0.083,770,0.985,0.083,0.535
16,0.45,0.2,0.05,-0.023,0.052,-0.28,0.06,-0.594,-0.83,97755.338,0.072,872,0.978,0.072,0.438
17,0.45,0.3,0.05,-0.084,0.058,-1.063,0.114,-1.351,-1.843,91713.224,0.079,778,0.917,0.079,0.519
18,0.45,0.4,0.05,-0.05,0.058,-0.579,0.086,-0.857,-1.219,95087.493,0.082,754,0.951,0.082,0.531
19,0.45,0.5,0.05,-0.011,0.057,-0.088,0.083,-0.354,-0.53,98897.148,0.086,718,0.989,0.086,0.532
20,0.05,0.2,0.1,0.002,0.019,0.082,0.046,-0.621,-1.065,100210.731,0.032,964,1.002,0.032,0.749
21,0.05,0.3,0.1,-0.002,0.02,-0.022,0.038,-0.637,-1.178,99850.699,0.037,948,0.999,0.037,0.785
22,0.05,0.4,0.1,0.011,0.02,0.275,0.043,-0.265,-0.549,101070.729,0.042,932,1.011,0.042,0.8
