,_para_k_sl,_para_k_tp,_para_range_k,annualized_returns,downside_risk,information_ratio,max_drawdown,sharpe,sortino,total_value,tracking_error,trades,unit_net_value,volatility,win_rate
116,0.45,0.2,0.3,-0.044,0.029,-1.306,0.066,-1.981,-2.339,95666.38,0.034,334,0.957,0.034,0.413
117,0.45,0.3,0.3,-0.07,0.033,-1.829,0.091,-2.413,-2.89,93095.885,0.039,320,0.931,0.039,0.5
118,0.45,0.4,0.3,-0.041,0.032,-0.985,0.077,-1.54,-1.97,95988.089,0.041,316,0.96,0.041,0.506
119,0.45,0.5,0.3,-0.05,0.033,-1.189,0.083,-1.728,-2.225,95045.149,0.042,306,0.95,0.042,0.529
120,0.05,0.6,0.05,0.006,0.021,0.159,0.05,-0.35,-0.75,100610.362,0.045,1242,1.006,0.045,0.821
121,0.05,0.7,0.05,0.015,0.021,0.34,0.049,-0.135,-0.309,101516.988,0.048,1232,1.015,0.048,0.826
122,0.05,0.8,0.05,0.033,0.021,0.653,0.046,0.209,0.514,103243.55,0.051,1222,1.032,0.051,0.827
123,0.05,0.9,0.05,0.033,0.021,0.664,0.042,0.216,0.53,103278.522,0.051,1214,1.033,0.051,0.825
124,0.15,0.6,0.05,-0.038,0.037,-0.612,0.068,-0.989,-1.628,96226.81,0.06,1072,0.962,0.06,0.715
125,0.15,0.7,0.05,-0.026,0.037,-0.381,0.065,-0.74,-1.281,97438.618,0.063,1054,0.974,0.063,0.727
126,0.15,0.8,0.05,-0.013,0.037,-0.168,0.073,-0.516,-0.923,98707.762,0.065,1040,0.987,0.065,0.731
127,0.15,0.9,0.05,-0.003,0.036,-0.008,0.067,-0.356,-0.644,99734.058,0.066,1030,0.997,0.066,0.732
128,0.25,0.6,0.05,-0.034,0.045,-0.47,0.064,-0.806,-1.224,96660.628,0.068,964,0.967,0.068,0.608
129,0.25,0.7,0.05,-0.007,0.044,-0.07,0.064,-0.392,-0.626,99260.332,0.071,950,0.993,0.071,0.619
130,0.25,0.8,0.05,0.011,0.044,0.179,0.067,-0.132,-0.219,101042.197,0.073,932,1.01,0.073,0.629
131,0.25,0.9,0.05,0.018,0.044,0.283,0.061,-0.027,-0.045,101812.755,0.074,914,1.018,0.074,0.635
132,0.35,0.6,0.05,-0.063,0.05,-0.828,0.097,-1.131,-1.691,93741.766,0.075,896,0.937,0.075,0.569
133,0.35,0.7,0.05,-0.033,0.05,-0.397,0.077,-0.691,-1.074,96703.688,0.078,878,0.967,0.078,0.579
134,0.35,0.8,0.05,-0.024,0.05,-0.27,0.078,-0.557,-0.887,97586.688,0.079,858,0.976,0.079,0.59
135,0.35,0.9,0.05,-0.015,0.05,-0.15,0.075,-0.436,-0.698,98507.246,0.08,840,0.985,0.08,0.595
136,0.45,0.6,0.05,-0.09,0.056,-1.126,0.114,-1.408,-2.036,91101.121,0.081,848,0.911,0.081,0.559
137,0.45,0.7,0.05,-0.069,0.056,-0.819,0.094,-1.096,-1.623,93221.457,0.082,832,0.932,0.082,0.57
138,0.45,0.8,0.05,-0.064,0.056,-0.746,0.094,-1.016,-1.534,93625.611,0.084,810,0.936,0.084,0.58
139,0.45,0.9,0.05,-0.057,0.056,-0.657,0.092,-0.927,-1.4,94316.581,0.084,792,0.943,0.084,0.588
140,0.05,0.6,0.1,-0.033,0.02,-0.805,0.047,-1.37,-2.776,96751.975,0.04,1138,0.968,0.04,0.84
141,0.05,0.7,0.1,-0.019,0.02,-0.419,0.036,-0.955,-2.057,98163.407,0.042,1136,0.982,0.042,0.842
142,0.05,0.8,0.1,-0.014,0.02,-0.301,0.044,-0.816,-1.828,98594.492,0.044,1134,0.986,0.044,0.845
143,0.05,0.9,0.1,-0.031,0.02,-0.733,0.051,-1.275,-2.687,96911.422,0.042,1124,0.969,0.042,0.847
144,0.15,0.6,0.1,-0.017,0.034,-0.279,0.056,-0.691,-1.125,98332.372,0.055,1000,0.983,0.055,0.694
145,0.15,0.7,0.1,0.007,0.034,0.142,0.055,-0.248,-0.429,100656.469,0.059,994,1.007,0.059,0.702
146,0.15,0.8,0.1,0.011,0.034,0.207,0.051,-0.176,-0.31,101051.012,0.059,986,1.011,0.059,0.708
