,_para_k_sl,_para_k_tp,_para_range_k,annualized_returns,downside_risk,information_ratio,max_drawdown,sharpe,sortino,total_value,tracking_error,trades,unit_net_value,volatility,win_rate
196,0.45,0.6,0.2,-0.01,0.041,-0.13,0.056,-0.506,-0.752,99041.266,0.061,534,0.99,0.061,0.562
197,0.45,0.7,0.2,0.009,0.04,0.173,0.061,-0.185,-0.291,100898.068,0.064,524,1.009,0.064,0.573
198,0.45,0.8,0.2,0.001,0.041,0.049,0.066,-0.303,-0.48,100107.297,0.065,510,1.001,0.065,0.58
199,0.45,0.9,0.2,-0.007,0.041,-0.076,0.077,-0.433,-0.671,99321.307,0.064,504,0.993,0.064,0.587
200,0.05,0.6,0.25,-0.014,0.009,-0.666,0.023,-1.784,-3.997,98643.35,0.02,476,0.986,0.02,0.71
201,0.05,0.7,0.25,-0.006,0.009,-0.259,0.022,-1.282,-3.154,99404.885,0.022,474,0.994,0.022,0.709
202,0.05,0.8,0.25,-0.005,0.009,-0.197,0.022,-1.167,-3.023,99516.0,0.023,472,0.995,0.023,0.712
203,0.05,0.9,0.25,-0.003,0.009,-0.109,0.021,-1.045,-2.805,99707.069,0.024,470,0.997,0.024,0.711
204,0.15,0.6,0.25,-0.021,0.019,-0.578,0.041,-1.219,-2.331,97918.629,0.036,450,0.979,0.036,0.742
205,0.15,0.7,0.25,-0.01,0.019,-0.254,0.033,-0.849,-1.736,98970.164,0.038,448,0.99,0.038,0.746
206,0.15,0.8,0.25,-0.003,0.019,-0.05,0.033,-0.618,-1.326,99721.279,0.04,446,0.997,0.04,0.749
207,0.15,0.9,0.25,0.011,0.019,0.277,0.032,-0.266,-0.6,101072.349,0.042,444,1.011,0.042,0.748
208,0.25,0.6,0.25,0.02,0.022,0.496,0.039,-0.05,-0.093,101986.59,0.042,424,1.02,0.042,0.613
209,0.25,0.7,0.25,0.031,0.022,0.713,0.039,0.201,0.4,103098.125,0.045,422,1.031,0.045,0.621
210,0.25,0.8,0.25,0.032,0.023,0.721,0.038,0.218,0.439,103190.413,0.045,418,1.032,0.045,0.627
211,0.25,0.9,0.25,0.045,0.022,0.949,0.041,0.467,0.983,104432.766,0.047,414,1.044,0.047,0.623
212,0.35,0.6,0.25,-0.03,0.03,-0.637,0.058,-1.129,-1.744,97011.994,0.046,412,0.97,0.046,0.583
213,0.35,0.7,0.25,-0.019,0.03,-0.364,0.055,-0.831,-1.359,98135.165,0.049,408,0.981,0.049,0.588
214,0.35,0.8,0.25,-0.022,0.03,-0.419,0.063,-0.88,-1.441,97848.58,0.049,402,0.978,0.049,0.592
215,0.35,0.9,0.25,-0.01,0.03,-0.172,0.066,-0.617,-1.05,99000.934,0.051,398,0.99,0.051,0.588
216,0.45,0.6,0.25,-0.071,0.04,-1.342,0.089,-1.764,-2.399,92934.403,0.054,408,0.929,0.054,0.559
217,0.45,0.7,0.25,-0.06,0.039,-1.074,0.075,-1.481,-2.103,94067.573,0.056,404,0.941,0.056,0.564
