,_para_k_sl,_para_k_tp,_para_range_k,annualized_returns,downside_risk,information_ratio,max_drawdown,sharpe,sortino,total_value,tracking_error,trades,unit_net_value,volatility,win_rate
134,0.35,0.8,0.05,0.077,0.049,1.0,0.043,0.702,1.086,107573.505,0.077,806,1.076,0.077,0.444
135,0.35,0.9,0.05,0.079,0.049,1.02,0.042,0.724,1.129,107796.033,0.077,786,1.078,0.077,0.438
136,0.45,0.6,0.05,0.036,0.053,0.504,0.051,0.199,0.279,103522.407,0.075,820,1.035,0.075,0.495
137,0.45,0.7,0.05,0.041,0.053,0.559,0.055,0.265,0.385,104083.405,0.078,786,1.041,0.078,0.486
138,0.45,0.8,0.05,0.068,0.053,0.864,0.042,0.577,0.862,106708.616,0.079,762,1.067,0.079,0.48
139,0.45,0.9,0.05,0.07,0.053,0.883,0.041,0.598,0.898,106911.144,0.08,742,1.069,0.08,0.474
140,0.05,0.6,0.1,-0.008,0.02,-0.199,0.027,-0.795,-1.553,99177.718,0.038,1152,0.992,0.038,0.175
141,0.05,0.7,0.1,-0.012,0.02,-0.312,0.028,-0.913,-1.767,98763.802,0.038,1142,0.988,0.038,0.175
142,0.05,0.8,0.1,0.009,0.019,0.221,0.03,-0.313,-0.688,100849.341,0.043,1134,1.008,0.043,0.173
143,0.05,0.9,0.1,0.0,0.019,0.026,0.036,-0.488,-1.115,100016.996,0.044,1122,1.0,0.044,0.168
144,0.15,0.6,0.1,0.08,0.032,1.39,0.038,0.986,1.762,107915.425,0.056,980,1.079,0.056,0.306
145,0.15,0.7,0.1,0.076,0.032,1.311,0.038,0.91,1.634,107494.131,0.057,966,1.075,0.057,0.3
146,0.15,0.8,0.1,0.106,0.031,1.648,0.038,1.281,2.542,110457.739,0.062,946,1.105,0.062,0.294
147,0.15,0.9,0.1,0.086,0.031,1.379,0.038,1.006,1.952,108515.422,0.061,934,1.085,0.061,0.287
148,0.25,0.6,0.1,0.035,0.042,0.551,0.047,0.203,0.315,103427.652,0.066,896,1.034,0.066,0.375
149,0.25,0.7,0.1,0.026,0.043,0.413,0.055,0.069,0.107,102528.813,0.066,878,1.025,0.066,0.367
150,0.25,0.8,0.1,0.057,0.042,0.819,0.046,0.494,0.824,105593.713,0.07,856,1.056,0.07,0.36
151,0.25,0.9,0.1,0.057,0.042,0.814,0.045,0.49,0.825,105591.429,0.07,844,1.056,0.07,0.353
152,0.35,0.6,0.1,0.071,0.045,1.037,0.034,0.704,1.074,107048.571,0.068,814,1.07,0.068,0.442
153,0.35,0.7,0.1,0.07,0.045,1.017,0.035,0.687,1.051,106962.301,0.069,792,1.07,0.069,0.434
154,0.35,0.8,0.1,0.099,0.045,1.338,0.032,1.024,1.666,109817.957,0.073,768,1.098,0.073,0.43
155,0.35,0.9,0.1,0.116,0.044,1.531,0.031,1.221,2.028,111487.59,0.073,754,1.115,0.073,0.43
156,0.45,0.6,0.1,0.059,0.049,0.817,0.04,0.505,0.748,105823.087,0.073,770,1.058,0.073,0.468
157,0.45,0.7,0.1,0.052,0.05,0.719,0.038,0.411,0.609,105125.626,0.074,750,1.051,0.074,0.456
158,0.45,0.8,0.1,0.09,0.049,1.15,0.035,0.855,1.345,108869.968,0.077,728,1.089,0.077,0.453
159,0.45,0.9,0.1,0.107,0.049,1.342,0.035,1.049,1.683,110589.601,0.078,714,1.106,0.078,0.454
160,0.05,0.6,0.15,0.042,0.016,1.124,0.021,0.512,1.168,104169.332,0.037,920,1.042,0.037,0.189
161,0.05,0.7,0.15,0.049,0.016,1.251,0.02,0.664,1.581,104856.458,0.039,908,1.049,0.039,0.192
162,0.05,0.8,0.15,0.059,0.016,1.337,0.02,0.809,2.149,105798.087,0.043,906,1.058,0.043,0.185
163,0.05,0.9,0.15,0.056,0.016,1.258,0.021,0.741,2.014,105551.51,0.044,900,1.056,0.044,0.182
