,_para_k_sl,_para_k_tp,_para_range_k,annualized_returns,downside_risk,information_ratio,max_drawdown,sharpe,sortino,total_value,tracking_error,trades,unit_net_value,volatility,win_rate
214,0.35,0.8,0.25,-0.02,0.032,-0.374,0.089,-0.836,-1.279,98065.905,0.049,396,0.981,0.049,0.409
215,0.35,0.9,0.25,-0.017,0.032,-0.309,0.092,-0.76,-1.193,98342.419,0.05,386,0.983,0.05,0.399
216,0.45,0.6,0.25,-0.056,0.039,-1.111,0.096,-1.561,-2.044,94450.126,0.051,388,0.945,0.051,0.454
217,0.45,0.7,0.25,-0.047,0.038,-0.896,0.095,-1.331,-1.816,95320.126,0.052,388,0.953,0.052,0.454
218,0.45,0.8,0.25,-0.042,0.038,-0.768,0.097,-1.19,-1.67,95833.606,0.054,382,0.958,0.054,0.445
219,0.45,0.9,0.25,-0.039,0.038,-0.7,0.099,-1.114,-1.597,96110.121,0.055,372,0.961,0.055,0.435
220,0.05,0.6,0.3,-0.024,0.008,-1.834,0.036,-3.561,-6.084,97618.273,0.013,322,0.976,0.013,0.211
221,0.05,0.7,0.3,-0.024,0.008,-1.848,0.036,-3.565,-6.123,97588.273,0.013,322,0.976,0.013,0.211
222,0.05,0.8,0.3,-0.028,0.008,-2.216,0.036,-4.01,-6.552,97239.235,0.013,320,0.972,0.013,0.2
223,0.05,0.9,0.3,-0.028,0.008,-2.225,0.036,-4.008,-6.589,97209.235,0.013,320,0.972,0.013,0.2
224,0.15,0.6,0.3,-0.031,0.015,-1.339,0.056,-2.309,-3.643,96903.245,0.023,312,0.969,0.023,0.25
225,0.15,0.7,0.3,-0.026,0.015,-1.031,0.049,-1.935,-3.284,97423.245,0.025,312,0.974,0.025,0.25
226,0.15,0.8,0.3,-0.023,0.015,-0.874,0.046,-1.73,-3.098,97684.206,0.027,310,0.977,0.027,0.245
227,0.15,0.9,0.3,-0.02,0.015,-0.687,0.044,-1.489,-2.849,98044.206,0.028,310,0.98,0.028,0.245
228,0.25,0.6,0.3,-0.055,0.022,-1.844,0.074,-2.59,-3.56,94529.622,0.031,306,0.945,0.031,0.34
