,_para_k_sl,_para_k_tp,_para_range_k,annualized_returns,downside_risk,information_ratio,max_drawdown,sharpe,sortino,total_value,tracking_error,trades,unit_net_value,volatility,win_rate
0,0.05,0.2,0.05,0.032,0.021,0.923,0.02,0.263,0.431,103152.973,0.035,1260,1.032,0.035,0.263
1,0.05,0.3,0.05,0.071,0.022,1.723,0.022,1.157,2.167,107041.628,0.04,1196,1.07,0.04,0.234
2,0.05,0.4,0.05,0.052,0.023,1.204,0.029,0.675,1.283,105187.094,0.043,1152,1.052,0.043,0.21
3,0.05,0.5,0.05,0.06,0.023,1.286,0.033,0.794,1.623,105971.446,0.046,1128,1.06,0.046,0.206
4,0.15,0.2,0.05,0.053,0.032,1.082,0.046,0.618,0.938,105287.636,0.049,1122,1.053,0.049,0.469
5,0.15,0.3,0.05,0.091,0.033,1.651,0.049,1.224,1.973,108976.13,0.053,1028,1.09,0.053,0.422
6,0.15,0.4,0.05,0.046,0.039,0.787,0.051,0.405,0.622,104585.342,0.06,966,1.046,0.06,0.383
7,0.15,0.5,0.05,0.088,0.038,1.349,0.052,0.991,1.651,108681.431,0.064,924,1.087,0.064,0.379
8,0.25,0.2,0.05,0.133,0.036,2.256,0.033,1.848,2.829,113122.899,0.056,1000,1.131,0.056,0.576
9,0.25,0.3,0.05,0.122,0.039,1.928,0.039,1.551,2.414,112024.956,0.06,896,1.12,0.06,0.511
10,0.25,0.4,0.05,0.087,0.045,1.275,0.037,0.935,1.405,108606.743,0.067,830,1.086,0.067,0.484
11,0.25,0.5,0.05,0.129,0.044,1.767,0.029,1.441,2.299,112777.867,0.07,796,1.128,0.07,0.48
12,0.35,0.2,0.05,0.129,0.04,2.06,0.035,1.678,2.475,112748.617,0.06,942,1.127,0.06,0.618
13,0.35,0.3,0.05,0.119,0.042,1.796,0.039,1.436,2.161,111740.28,0.063,838,1.117,0.063,0.554
14,0.35,0.4,0.05,0.094,0.047,1.323,0.037,0.995,1.461,109300.589,0.07,774,1.093,0.07,0.532
15,0.35,0.5,0.05,0.135,0.046,1.779,0.035,1.464,2.278,113311.461,0.072,740,1.133,0.072,0.532
16,0.45,0.2,0.05,0.082,0.046,1.251,0.046,0.897,1.252,108081.656,0.064,902,1.081,0.064,0.632
17,0.45,0.3,0.05,0.077,0.048,1.128,0.057,0.792,1.126,107636.177,0.068,794,1.076,0.068,0.574
18,0.45,0.4,0.05,0.051,0.053,0.702,0.066,0.395,0.549,105015.101,0.074,732,1.05,0.074,0.552
19,0.45,0.5,0.05,0.096,0.052,1.239,0.045,0.941,1.381,109535.973,0.076,698,1.095,0.076,0.553
20,0.05,0.2,0.1,0.008,0.018,0.273,0.021,-0.459,-0.773,100798.907,0.031,956,1.008,0.031,0.238
21,0.05,0.3,0.1,0.034,0.019,0.944,0.021,0.312,0.602,103364.821,0.036,930,1.034,0.036,0.213
22,0.05,0.4,0.1,0.014,0.019,0.378,0.022,-0.212,-0.42,101384.405,0.039,914,1.014,0.039,0.19
23,0.05,0.5,0.1,0.014,0.02,0.365,0.023,-0.19,-0.395,101412.005,0.041,902,1.014,0.041,0.182
24,0.15,0.2,0.1,0.069,0.027,1.486,0.029,0.982,1.634,106778.498,0.045,872,1.068,0.045,0.47
25,0.15,0.3,0.1,0.097,0.028,1.917,0.031,1.45,2.498,109574.259,0.049,818,1.096,0.049,0.43
26,0.15,0.4,0.1,0.088,0.029,1.655,0.028,1.213,2.132,108691.836,0.052,774,1.087,0.052,0.39
27,0.15,0.5,0.1,0.105,0.03,1.825,0.028,1.413,2.634,110373.87,0.055,754,1.104,0.055,0.379
28,0.25,0.2,0.1,0.059,0.036,1.096,0.034,0.668,0.989,105804.625,0.053,798,1.058,0.053,0.541
29,0.25,0.3,0.1,0.071,0.037,1.251,0.04,0.842,1.28,106992.148,0.056,740,1.07,0.056,0.508
30,0.25,0.4,0.1,0.059,0.039,0.994,0.042,0.612,0.947,105868.085,0.06,698,1.059,0.06,0.473
31,0.25,0.5,0.1,0.086,0.038,1.33,0.034,0.969,1.587,108459.712,0.063,678,1.085,0.063,0.46
32,0.35,0.2,0.1,0.05,0.04,0.887,0.044,0.488,0.694,104979.74,0.057,742,1.05,0.057,0.571
33,0.35,0.3,0.1,0.055,0.041,0.921,0.057,0.542,0.792,105448.035,0.06,682,1.054,0.06,0.531
34,0.35,0.4,0.1,0.058,0.043,0.919,0.062,0.559,0.83,105732.826,0.063,642,1.057,0.063,0.505
35,0.35,0.5,0.1,0.083,0.042,1.244,0.045,0.899,1.399,108254.454,0.066,622,1.083,0.066,0.489
36,0.45,0.2,0.1,0.023,0.045,0.411,0.064,0.035,0.048,102315.861,0.061,730,1.023,0.061,0.578
37,0.45,0.3,0.1,0.03,0.045,0.491,0.078,0.132,0.185,102935.726,0.063,668,1.029,0.063,0.542
