,datetime,close,signal
0,2016-05-03 09:01:00,2536.0,0
1,2016-05-03 09:16:00,2495.0,1
2,2016-05-03 09:31:00,2484.0,1
3,2016-05-03 09:46:00,2461.0,1
4,2016-05-03 10:01:00,2471.0,1
5,2016-05-03 10:31:00,2476.0,1
6,2016-05-03 10:46:00,2465.0,1
7,2016-05-03 11:01:00,2461.0,1
8,2016-05-03 11:16:00,2464.0,1
9,2016-05-03 13:31:00,2443.0,0
10,2016-05-03 13:46:00,2441.0,1
11,2016-05-03 14:01:00,2438.0,1
12,2016-05-03 14:16:00,2453.0,1
13,2016-05-03 14:31:00,2444.0,1
14,2016-05-03 14:46:00,2451.0,1
15,2016-05-03 21:01:00,2434.0,0
16,2016-05-03 21:16:00,2435.0,0
17,2016-05-03 21:31:00,2423.0,0
18,2016-05-03 21:46:00,2430.0,0
19,2016-05-03 22:01:00,2438.0,0
20,2016-05-03 22:16:00,2428.0,0
21,2016-05-03 22:31:00,2428.0,0
22,2016-05-03 22:46:00,2432.0,0
23,2016-05-04 09:01:00,2434.0,0
24,2016-05-04 09:16:00,2444.0,0
25,2016-05-04 09:31:00,2437.0,0
26,2016-05-04 09:46:00,2435.0,0
27,2016-05-04 10:01:00,2418.0,0
28,2016-05-04 10:31:00,2402.0,0
29,2016-05-04 10:46:00,2392.0,0
30,2016-05-04 11:01:00,2374.0,1
31,2016-05-04 11:16:00,2382.0,1
32,2016-05-04 13:31:00,2382.0,1
33,2016-05-04 13:46:00,2390.0,1
34,2016-05-04 14:01:00,2394.0,1
35,2016-05-04 14:16:00,2383.0,1
36,2016-05-04 14:31:00,2392.0,1
37,2016-05-04 14:46:00,2389.0,1
38,2016-05-04 21:01:00,2389.0,0
39,2016-05-04 21:16:00,2383.0,0
40,2016-05-04 21:31:00,2375.0,0
41,2016-05-04 21:46:00,2379.0,0
42,2016-05-04 22:01:00,2384.0,0
43,2016-05-04 22:16:00,2383.0,0
44,2016-05-04 22:31:00,2382.0,0
45,2016-05-04 22:46:00,2380.0,0
46,2016-05-05 09:01:00,2391.0,0
47,2016-05-05 09:16:00,2389.0,0
48,2016-05-05 09:31:00,2394.0,0
49,2016-05-05 09:46:00,2381.0,0
50,2016-05-05 10:01:00,2382.0,0
51,2016-05-05 10:31:00,2340.0,1
52,2016-05-05 10:46:00,2348.0,1
