,datetime,value,signal
0,2015-05-04 09:01:00,20000.0,0
1,2015-05-04 09:06:00,20000.0,0
2,2015-05-04 09:11:00,20000.0,0
3,2015-05-04 09:16:00,20000.0,0
4,2015-05-04 09:21:00,20000.0,0
5,2015-05-04 09:26:00,20000.0,0
6,2015-05-04 09:31:00,20000.0,0
7,2015-05-04 09:36:00,20000.0,0
8,2015-05-04 09:41:00,20000.0,0
9,2015-05-04 09:46:00,20000.0,0
10,2015-05-04 09:51:00,19987.83235,1
11,2015-05-04 09:56:00,20017.83235,1
12,2015-05-04 10:01:00,20007.83235,1
13,2015-05-04 10:06:00,19987.83235,1
14,2015-05-04 10:11:00,19967.83235,1
15,2015-05-04 10:31:00,19957.83235,1
16,2015-05-04 10:36:00,19957.83235,1
17,2015-05-04 10:41:00,19947.83235,1
18,2015-05-04 10:46:00,19947.83235,1
19,2015-05-04 10:51:00,19987.83235,1
20,2015-05-04 10:56:00,20007.83235,0
21,2015-05-04 11:01:00,20007.83235,0
22,2015-05-04 11:06:00,20007.83235,0
23,2015-05-04 11:11:00,20007.83235,0
24,2015-05-04 11:16:00,20007.83235,0
25,2015-05-04 11:21:00,20007.83235,0
26,2015-05-04 11:26:00,20007.83235,0
27,2015-05-04 13:31:00,20007.83235,0
28,2015-05-04 13:36:00,20007.83235,0
29,2015-05-04 13:41:00,20007.83235,0
30,2015-05-04 13:46:00,20007.83235,0
31,2015-05-04 13:51:00,20007.83235,0
32,2015-05-04 13:56:00,20007.83235,0
33,2015-05-04 14:01:00,20007.83235,0
34,2015-05-04 14:06:00,20007.83235,0
35,2015-05-04 14:11:00,19995.64355,1
36,2015-05-04 14:16:00,20025.64355,0
37,2015-05-04 14:21:00,20025.64355,0
38,2015-05-04 14:26:00,20025.64355,0
39,2015-05-04 14:31:00,20025.64355,0
40,2015-05-04 14:36:00,20025.64355,0
41,2015-05-04 14:41:00,20025.64355,0
42,2015-05-04 14:46:00,20025.64355,0
43,2015-05-04 14:51:00,20025.64355,0
44,2015-05-04 14:56:00,20025.64355,0
45,2015-05-04 21:01:00,20025.64355,0
46,2015-05-04 21:06:00,20025.64355,0
47,2015-05-04 21:11:00,20025.64355,0
48,2015-05-04 21:16:00,20025.64355,0
49,2015-05-04 21:21:00,20025.64355,0
50,2015-05-04 21:26:00,20025.64355,0
51,2015-05-04 21:31:00,20025.64355,0
52,2015-05-04 21:36:00,20025.64355,0
53,2015-05-04 21:41:00,20025.64355,0
54,2015-05-04 21:46:00,20025.64355,0
55,2015-05-04 21:51:00,20025.64355,0
56,2015-05-04 21:56:00,20025.64355,0
57,2015-05-04 22:01:00,20025.64355,0
58,2015-05-04 22:06:00,20023.45115,1
59,2015-05-04 22:11:00,20043.45115,0
60,2015-05-04 22:16:00,20043.45115,0
61,2015-05-04 22:21:00,20043.45115,0
62,2015-05-04 22:26:00,20043.45115,0
63,2015-05-04 22:31:00,20051.2583,1
64,2015-05-04 22:36:00,20051.2583,1
65,2015-05-04 22:41:00,20041.2583,1
66,2015-05-04 22:46:00,20061.2583,1
67,2015-05-04 22:51:00,20041.2583,1
68,2015-05-04 22:56:00,20061.2583,0
69,2015-05-04 23:01:00,20061.2583,0
70,2015-05-04 23:06:00,20061.2583,0
71,2015-05-04 23:11:00,20061.2583,0
72,2015-05-04 23:16:00,20061.2583,0
73,2015-05-04 23:21:00,20061.2583,0
74,2015-05-04 23:26:00,20061.2583,0
75,2015-05-04 23:31:00,20061.2583,0
76,2015-05-04 23:36:00,20061.2583,0
77,2015-05-04 23:41:00,20061.2583,0
78,2015-05-04 23:46:00,20061.2583,0
79,2015-05-04 23:51:00,20061.2583,0
80,2015-05-04 23:56:00,20061.2583,0
81,2015-05-05 00:01:00,20061.2583,0
82,2015-05-05 00:06:00,20061.2583,0
83,2015-05-05 00:11:00,20061.2583,0
84,2015-05-05 00:16:00,20061.2583,0
85,2015-05-05 00:21:00,20061.2583,0
86,2015-05-05 00:26:00,20061.2583,0
87,2015-05-05 00:31:00,20061.2583,0
88,2015-05-05 00:36:00,20061.2583,0
89,2015-05-05 00:41:00,20061.2583,0
90,2015-05-05 00:46:00,20061.2583,0
91,2015-05-05 00:51:00,20061.2583,0
92,2015-05-05 00:56:00,20061.2583,0
93,2015-05-05 09:01:00,20061.2583,0
94,2015-05-05 09:06:00,20049.06815,0
95,2015-05-05 09:11:00,20049.06815,0
96,2015-05-05 09:16:00,20049.06815,0
97,2015-05-05 09:21:00,20049.06815,0
98,2015-05-05 09:26:00,20049.06815,0
99,2015-05-05 09:31:00,20049.06815,0
100,2015-05-05 09:36:00,20049.06815,0
101,2015-05-05 09:41:00,20049.06815,0
102,2015-05-05 09:46:00,20049.06815,0
103,2015-05-05 09:51:00,20036.856849999996,1
104,2015-05-05 09:56:00,20026.856849999996,1
105,2015-05-05 10:01:00,20036.856849999996,1
106,2015-05-05 10:06:00,20036.856849999996,1
107,2015-05-05 10:11:00,20026.856849999996,1
108,2015-05-05 10:31:00,20036.856849999996,1
109,2015-05-05 10:36:00,20036.856849999996,1
110,2015-05-05 10:41:00,20036.856849999996,1
111,2015-05-05 10:46:00,20036.856849999996,1
112,2015-05-05 10:51:00,20036.856849999996,0
113,2015-05-05 10:56:00,20036.856849999996,0
114,2015-05-05 11:01:00,20036.856849999996,0
115,2015-05-05 11:06:00,20036.856849999996,0
116,2015-05-05 11:11:00,20036.856849999996,0
117,2015-05-05 11:16:00,20036.856849999996,0
118,2015-05-05 11:21:00,20036.856849999996,0
119,2015-05-05 11:26:00,20036.856849999996,0
120,2015-05-05 13:31:00,20036.856849999996,0
121,2015-05-05 13:36:00,20036.856849999996,0
122,2015-05-05 13:41:00,20036.856849999996,0
123,2015-05-05 13:46:00,20036.856849999996,0
124,2015-05-05 13:51:00,20036.856849999996,0
125,2015-05-05 13:56:00,20036.856849999996,0
126,2015-05-05 14:01:00,20036.856849999996,0
127,2015-05-05 14:06:00,20036.856849999996,0
128,2015-05-05 14:11:00,20036.856849999996,0
129,2015-05-05 14:16:00,20036.856849999996,0
130,2015-05-05 14:21:00,20036.856849999996,0
131,2015-05-05 14:26:00,20036.856849999996,0
132,2015-05-05 14:31:00,20036.856849999996,0
133,2015-05-05 14:36:00,20036.856849999996,0
134,2015-05-05 14:41:00,20036.856849999996,0
135,2015-05-05 14:46:00,20036.856849999996,0
136,2015-05-05 14:51:00,20024.645099999994,1
137,2015-05-05 14:56:00,20034.645099999994,1
138,2015-05-05 21:01:00,20064.645099999994,1
139,2015-05-05 21:06:00,20054.645099999994,1
140,2015-05-05 21:11:00,20052.439649999993,0
141,2015-05-05 21:16:00,20052.439649999993,0
142,2015-05-05 21:21:00,20052.439649999993,0
143,2015-05-05 21:26:00,20052.439649999993,0
144,2015-05-05 21:31:00,20052.439649999993,0
145,2015-05-05 21:36:00,20052.439649999993,0
146,2015-05-05 21:41:00,20052.439649999993,0
147,2015-05-05 21:46:00,20052.439649999993,0
148,2015-05-05 21:51:00,20052.439649999993,0
149,2015-05-05 21:56:00,20052.439649999993,0
150,2015-05-05 22:01:00,20052.439649999993,0
151,2015-05-05 22:06:00,20052.439649999993,0
152,2015-05-05 22:11:00,20052.439649999993,0
153,2015-05-05 22:16:00,20052.439649999993,0
154,2015-05-05 22:21:00,20052.439649999993,0
155,2015-05-05 22:26:00,20052.439649999993,0
156,2015-05-05 22:31:00,20052.439649999993,0
157,2015-05-05 22:36:00,20052.439649999993,0
158,2015-05-05 22:41:00,20052.439649999993,0
159,2015-05-05 22:46:00,20052.439649999993,0
160,2015-05-05 22:51:00,20052.439649999993,0
161,2015-05-05 22:56:00,20052.439649999993,0
162,2015-05-05 23:01:00,20052.439649999993,0
163,2015-05-05 23:06:00,20052.439649999993,0
164,2015-05-05 23:11:00,20052.439649999993,0
165,2015-05-05 23:16:00,20052.439649999993,0
166,2015-05-05 23:21:00,20052.439649999993,0
167,2015-05-05 23:26:00,20052.439649999993,0
168,2015-05-05 23:31:00,20052.439649999993,0
169,2015-05-05 23:36:00,20052.439649999993,0
170,2015-05-05 23:41:00,20052.439649999993,0
171,2015-05-05 23:46:00,20052.439649999993,0
172,2015-05-05 23:51:00,20052.439649999993,0
173,2015-05-05 23:56:00,20052.439649999993,0
174,2015-05-06 00:01:00,20052.439649999993,0
175,2015-05-06 00:06:00,20052.439649999993,0
176,2015-05-06 00:11:00,20052.439649999993,0
177,2015-05-06 00:16:00,20052.439649999993,0
178,2015-05-06 00:21:00,20052.439649999993,0
179,2015-05-06 00:26:00,20052.439649999993,0
180,2015-05-06 00:31:00,20052.439649999993,0
181,2015-05-06 00:36:00,20052.439649999993,0
182,2015-05-06 00:41:00,20040.23059999999,1
183,2015-05-06 00:46:00,20050.23059999999,1
184,2015-05-06 00:51:00,20030.23059999999,1
185,2015-05-06 00:56:00,20030.23059999999,1
186,2015-05-06 09:01:00,20040.23059999999,1
187,2015-05-06 09:06:00,20040.23059999999,1
188,2015-05-06 09:11:00,20050.23059999999,0
189,2015-05-06 09:16:00,20050.23059999999,0
190,2015-05-06 09:21:00,20050.23059999999,0
191,2015-05-06 09:26:00,20050.23059999999,0
192,2015-05-06 09:31:00,20050.23059999999,0
193,2015-05-06 09:36:00,20050.23059999999,0
194,2015-05-06 09:41:00,20050.23059999999,0
195,2015-05-06 09:46:00,20050.23059999999,0
196,2015-05-06 09:51:00,20050.23059999999,0
197,2015-05-06 09:56:00,20050.23059999999,0
198,2015-05-06 10:01:00,20050.23059999999,0
199,2015-05-06 10:06:00,20050.23059999999,0
200,2015-05-06 10:11:00,20050.23059999999,0
201,2015-05-06 10:31:00,20050.23059999999,0
202,2015-05-06 10:36:00,20050.23059999999,0
203,2015-05-06 10:41:00,20050.23059999999,0
204,2015-05-06 10:46:00,20050.23059999999,0
205,2015-05-06 10:51:00,20050.23059999999,0
206,2015-05-06 10:56:00,20050.23059999999,0
207,2015-05-06 11:01:00,20050.23059999999,0
208,2015-05-06 11:06:00,20050.23059999999,0
209,2015-05-06 11:11:00,20050.23059999999,0
210,2015-05-06 11:16:00,20050.23059999999,0
211,2015-05-06 11:21:00,20050.23059999999,0
212,2015-05-06 11:26:00,20038.02784999999,1
213,2015-05-06 13:31:00,20028.02784999999,1
214,2015-05-06 13:36:00,20028.02784999999,1
215,2015-05-06 13:41:00,20038.02784999999,1
216,2015-05-06 13:46:00,20068.02784999999,0
217,2015-05-06 13:51:00,20068.02784999999,0
218,2015-05-06 13:56:00,20068.02784999999,0
219,2015-05-06 14:01:00,20068.02784999999,0
220,2015-05-06 14:06:00,20068.02784999999,0
221,2015-05-06 14:11:00,20068.02784999999,0
222,2015-05-06 14:16:00,20068.02784999999,0
223,2015-05-06 14:21:00,20068.02784999999,0
224,2015-05-06 14:26:00,20068.02784999999,0
225,2015-05-06 14:31:00,20068.02784999999,0
226,2015-05-06 14:36:00,20068.02784999999,0
227,2015-05-06 14:41:00,20068.02784999999,0
228,2015-05-06 14:46:00,20068.02784999999,0
229,2015-05-06 14:51:00,20068.02784999999,0
230,2015-05-06 14:56:00,20068.02784999999,0
231,2015-05-06 21:01:00,20068.02784999999,0
232,2015-05-06 21:06:00,20068.02784999999,0
233,2015-05-06 21:11:00,20068.02784999999,0
234,2015-05-06 21:16:00,20068.02784999999,0
235,2015-05-06 21:21:00,20045.83229999999,1
236,2015-05-06 21:26:00,20055.83229999999,1
237,2015-05-06 21:31:00,20055.83229999999,1
238,2015-05-06 21:36:00,20055.83229999999,1
239,2015-05-06 21:41:00,20065.83229999999,0
240,2015-05-06 21:46:00,20065.83229999999,0
241,2015-05-06 21:51:00,20065.83229999999,0
242,2015-05-06 21:56:00,20065.83229999999,0
243,2015-05-06 22:01:00,20065.83229999999,0
244,2015-05-06 22:06:00,20065.83229999999,0
245,2015-05-06 22:11:00,20065.83229999999,0
246,2015-05-06 22:16:00,20065.83229999999,0
247,2015-05-06 22:21:00,20065.83229999999,0
248,2015-05-06 22:26:00,20065.83229999999,0
249,2015-05-06 22:31:00,20065.83229999999,0
250,2015-05-06 22:36:00,20065.83229999999,0
251,2015-05-06 22:41:00,20065.83229999999,0
252,2015-05-06 22:46:00,20065.83229999999,0
253,2015-05-06 22:51:00,20065.83229999999,0
